ip,timestamp,lat,lon,pred,score,source_file
216.73.159.75,2025-10-05 07:22:45,-39.8,-73.2333,-1,-0.20990600829920625,20251005173523-TorIP_geocoded.csv
185.165.169.239,2025-10-05 07:17:47,-4.5833,55.6667,-1,-0.10865833233788169,20251005173523-TorIP_geocoded.csv
124.198.132.172,2025-10-05 07:44:52,-42.0,174.0,-1,-0.2121130578831092,20251005173523-TorIP_geocoded.csv
190.120.229.98,2025-10-05 07:05:46,-12.0464,-77.0428,-1,-0.15859715308034894,20251005173523-TorIP_geocoded.csv
139.99.172.11,2025-10-05 06:31:14,-33.8601,151.2101,-1,-0.20642021962835688,20251005173523-TorIP_geocoded.csv
138.59.18.110,2025-10-05 07:13:03,10.0029,-84.0,-1,-0.12019148789950396,20251005173523-TorIP_geocoded.csv
185.246.188.73,2025-10-05 07:44:40,-4.5833,55.6667,-1,-0.10865833233788169,20251005173523-TorIP_geocoded.csv
102.130.113.9,2025-10-05 07:14:23,-26.3811,27.8376,-1,-0.1653804717341193,20251005173523-TorIP_geocoded.csv
185.227.134.106,2025-10-05 07:06:56,47.4902,-122.3004,-1,-0.10895145081515256,20251005173523-TorIP_geocoded.csv
71.19.144.106,2025-10-05 07:08:43,37.353,-121.9543,-1,-0.02454537194123385,20251005173523-TorIP_geocoded.csv
185.246.188.74,2025-10-05 07:38:54,-4.5833,55.6667,-1,-0.10865833233788169,20251005173523-TorIP_geocoded.csv
51.81.222.62,2025-10-05 07:37:04,45.5229,-122.9898,-1,-0.09903894543431135,20251005173523-TorIP_geocoded.csv
173.255.198.243,2025-10-05 07:37:28,32.9473,-96.7028,-1,-0.00990998858147818,20251005173523-TorIP_geocoded.csv
216.73.159.101,2025-10-05 07:20:50,-39.8,-73.2333,-1,-0.20990600829920625,20251005173523-TorIP_geocoded.csv
160.119.249.240,2025-10-05 07:17:51,-29.0,24.0,-1,-0.17065189392887892,20251005173523-TorIP_geocoded.csv
124.198.131.253,2025-10-05 07:45:56,-42.0,174.0,-1,-0.2121130578831092,20251005173523-TorIP_geocoded.csv
103.109.101.105,2025-10-05 07:22:52,22.2578,114.1657,-1,-0.13412915234254041,20251005173523-TorIP_geocoded.csv
72.14.179.10,2025-10-05 07:16:47,32.9473,-96.7028,-1,-0.00990998858147818,20251005173523-TorIP_geocoded.csv
198.58.107.53,2025-10-05 07:05:15,32.9473,-96.7028,-1,-0.00990998858147818,20251005173523-TorIP_geocoded.csv
93.95.228.125,2025-10-05 07:46:18,64.1439,-21.98,-1,-0.11777325576275555,20251005173523-TorIP_geocoded.csv
125.212.241.131,2025-10-05 07:23:16,10.822,106.6257,-1,-0.13108859766422265,20251005173523-TorIP_geocoded.csv
185.246.189.99,2025-10-05 07:23:10,-4.5833,55.6667,-1,-0.10865833233788169,20251005173523-TorIP_geocoded.csv
185.246.188.149,2025-10-05 07:27:52,-4.5833,55.6667,-1,-0.10865833233788169,20251005173523-TorIP_geocoded.csv
123.253.35.32,2025-10-05 05:38:07,2.5,112.5,-1,-0.12710335261915462,20251005173523-TorIP_geocoded.csv
185.191.204.254,2025-10-05 07:40:36,31.5,34.75,-1,-0.026744774052215536,20251005173523-TorIP_geocoded.csv
102.130.117.167,2025-10-05 07:03:51,-26.3811,27.8376,-1,-0.1653804717341193,20251005173523-TorIP_geocoded.csv
185.112.146.167,2025-10-05 07:11:04,65.0,-18.0,-1,-0.11308710802740796,20251005173523-TorIP_geocoded.csv
185.106.102.102,2025-10-05 06:38:00,35.0,33.0,-1,-0.005958835061147139,20251005173523-TorIP_geocoded.csv
165.73.242.163,2025-10-05 07:35:57,-29.0,24.0,-1,-0.17065189392887892,20251005173523-TorIP_geocoded.csv
27.255.75.198,2025-10-05 07:42:18,37.5112,126.9741,-1,-0.12848066904324906,20251005173523-TorIP_geocoded.csv
