ip,timestamp,lat,lon,pred,score,source_file
216.73.159.75,2025-10-04 07:46:11,-39.8,-73.2333,-1,-0.20523703008717598,20251004173514-TorIP_geocoded.csv
185.165.169.239,2025-10-04 07:46:12,-4.5833,55.6667,-1,-0.11545698616607791,20251004173514-TorIP_geocoded.csv
124.198.132.172,2025-10-04 07:45:08,-42.0,174.0,-1,-0.20618050572555868,20251004173514-TorIP_geocoded.csv
190.120.229.98,2025-10-04 07:15:00,-12.0464,-77.0428,-1,-0.16404654687026898,20251004173514-TorIP_geocoded.csv
139.99.172.11,2025-10-04 07:01:23,-33.8601,151.2101,-1,-0.1932561731768,20251004173514-TorIP_geocoded.csv
138.59.18.110,2025-10-04 07:29:12,10.0029,-84.0,-1,-0.12841862612294008,20251004173514-TorIP_geocoded.csv
185.246.188.73,2025-10-04 07:42:16,-4.5833,55.6667,-1,-0.11545698616607791,20251004173514-TorIP_geocoded.csv
102.130.113.9,2025-10-04 07:01:02,-26.3811,27.8376,-1,-0.1585741141855309,20251004173514-TorIP_geocoded.csv
185.227.134.106,2025-10-04 07:30:40,47.4902,-122.3004,-1,-0.10963205800881348,20251004173514-TorIP_geocoded.csv
71.19.144.106,2025-10-04 07:36:32,37.353,-121.9543,-1,-0.033423658478130336,20251004173514-TorIP_geocoded.csv
185.246.188.74,2025-10-04 07:41:00,-4.5833,55.6667,-1,-0.11545698616607791,20251004173514-TorIP_geocoded.csv
51.81.222.62,2025-10-04 07:33:02,45.5229,-122.9898,-1,-0.10478546133991673,20251004173514-TorIP_geocoded.csv
216.73.159.101,2025-10-04 07:19:53,-39.8,-73.2333,-1,-0.20523703008717598,20251004173514-TorIP_geocoded.csv
160.119.249.240,2025-10-04 07:04:45,-29.0,24.0,-1,-0.16299567260175718,20251004173514-TorIP_geocoded.csv
124.198.131.253,2025-10-04 07:27:17,-42.0,174.0,-1,-0.20618050572555868,20251004173514-TorIP_geocoded.csv
103.109.101.105,2025-10-04 07:22:45,22.2578,114.1657,-1,-0.13711832886629316,20251004173514-TorIP_geocoded.csv
93.95.228.125,2025-10-04 07:10:00,64.1439,-21.98,-1,-0.11867722569271211,20251004173514-TorIP_geocoded.csv
125.212.241.131,2025-10-04 07:04:33,10.822,106.6257,-1,-0.1363457744395703,20251004173514-TorIP_geocoded.csv
