ip,timestamp,lat,lon,pred,score,source_file
216.73.159.75,2025-10-13 07:28:22,-39.8,-73.2333,-1,-0.20381263882855594,20251013173525-TorIP_geocoded.csv
185.165.169.239,2025-10-13 07:12:14,-4.5833,55.6667,-1,-0.11499384341846652,20251013173525-TorIP_geocoded.csv
124.198.132.172,2025-10-13 07:46:57,-42.0,174.0,-1,-0.21442615124879383,20251013173525-TorIP_geocoded.csv
190.120.229.98,2025-10-13 07:01:10,-12.0464,-77.0428,-1,-0.1568726690925316,20251013173525-TorIP_geocoded.csv
139.99.172.11,2025-10-13 07:19:39,-33.8601,151.2101,-1,-0.20420660577823435,20251013173525-TorIP_geocoded.csv
138.59.18.110,2025-10-13 07:40:19,10.0029,-84.0,-1,-0.13011868291237716,20251013173525-TorIP_geocoded.csv
185.246.188.73,2025-10-13 07:11:28,-4.5833,55.6667,-1,-0.11499384341846652,20251013173525-TorIP_geocoded.csv
102.130.113.9,2025-10-13 07:03:46,-26.3811,27.8376,-1,-0.1552877496580244,20251013173525-TorIP_geocoded.csv
185.227.134.106,2025-10-13 07:20:03,47.4902,-122.3004,-1,-0.11125446474152056,20251013173525-TorIP_geocoded.csv
71.19.144.106,2025-10-13 07:35:49,37.353,-121.9543,-1,-0.023146412213926326,20251013173525-TorIP_geocoded.csv
185.246.188.74,2025-10-13 07:46:18,-4.5833,55.6667,-1,-0.11499384341846652,20251013173525-TorIP_geocoded.csv
51.81.222.62,2025-10-13 07:38:04,45.5229,-122.9898,-1,-0.10527725109731212,20251013173525-TorIP_geocoded.csv
173.255.198.243,2025-10-13 07:18:05,32.9473,-96.7028,-1,-0.021540919723576524,20251013173525-TorIP_geocoded.csv
216.73.159.101,2025-10-13 07:18:55,-39.8,-73.2333,-1,-0.20381263882855594,20251013173525-TorIP_geocoded.csv
160.119.249.240,2025-10-13 07:32:34,-29.0,24.0,-1,-0.16330210814948365,20251013173525-TorIP_geocoded.csv
124.198.131.253,2025-10-13 07:35:37,-42.0,174.0,-1,-0.21442615124879383,20251013173525-TorIP_geocoded.csv
103.109.101.105,2025-10-13 07:21:27,22.2578,114.1657,-1,-0.14492350468401838,20251013173525-TorIP_geocoded.csv
72.14.179.10,2025-10-13 07:42:22,32.9473,-96.7028,-1,-0.021540919723576524,20251013173525-TorIP_geocoded.csv
