ip,timestamp,lat,lon,pred,score,source_file
216.73.159.75,2025-10-12 07:19:50,-39.8,-73.2333,-1,-0.21301459323901095,20251012173526-TorIP_geocoded.csv
185.165.169.239,2025-10-12 07:35:58,-4.5833,55.6667,-1,-0.1235097312896547,20251012173526-TorIP_geocoded.csv
124.198.132.172,2025-10-12 07:38:04,-42.0,174.0,-1,-0.21566998061724374,20251012173526-TorIP_geocoded.csv
190.120.229.98,2025-10-12 07:36:50,-12.0464,-77.0428,-1,-0.16304001981406469,20251012173526-TorIP_geocoded.csv
139.99.172.11,2025-10-12 07:10:18,-33.8601,151.2101,-1,-0.21202341315790596,20251012173526-TorIP_geocoded.csv
138.59.18.110,2025-10-12 07:39:20,10.0029,-84.0,-1,-0.13501331483149404,20251012173526-TorIP_geocoded.csv
185.246.188.73,2025-10-12 07:34:01,-4.5833,55.6667,-1,-0.1235097312896547,20251012173526-TorIP_geocoded.csv
102.130.113.9,2025-10-12 07:29:36,-26.3811,27.8376,-1,-0.15651442652921377,20251012173526-TorIP_geocoded.csv
185.227.134.106,2025-10-12 07:04:10,47.4902,-122.3004,-1,-0.11699687455073726,20251012173526-TorIP_geocoded.csv
71.19.144.106,2025-10-12 07:15:12,37.353,-121.9543,-1,-0.033259667362403156,20251012173526-TorIP_geocoded.csv
185.246.188.74,2025-10-12 07:45:15,-4.5833,55.6667,-1,-0.1235097312896547,20251012173526-TorIP_geocoded.csv
51.81.222.62,2025-10-12 07:25:45,45.5229,-122.9898,-1,-0.11141348864404788,20251012173526-TorIP_geocoded.csv
173.255.198.243,2025-10-12 07:07:56,32.9473,-96.7028,-1,-0.02149172954484635,20251012173526-TorIP_geocoded.csv
216.73.159.101,2025-10-12 07:03:57,-39.8,-73.2333,-1,-0.21301459323901095,20251012173526-TorIP_geocoded.csv
160.119.249.240,2025-10-12 07:02:13,-29.0,24.0,-1,-0.15989717538855286,20251012173526-TorIP_geocoded.csv
124.198.131.253,2025-10-12 07:31:14,-42.0,174.0,-1,-0.21566998061724374,20251012173526-TorIP_geocoded.csv
103.109.101.105,2025-10-12 07:32:04,22.2578,114.1657,-1,-0.14839125697319444,20251012173526-TorIP_geocoded.csv
72.14.179.10,2025-10-12 07:03:20,32.9473,-96.7028,-1,-0.02149172954484635,20251012173526-TorIP_geocoded.csv
198.58.107.53,2025-10-12 07:14:27,32.9473,-96.7028,-1,-0.02149172954484635,20251012173526-TorIP_geocoded.csv
93.95.228.125,2025-10-12 07:24:43,64.1439,-21.98,-1,-0.12050135259053751,20251012173526-TorIP_geocoded.csv
125.212.241.131,2025-10-12 07:23:50,10.822,106.6257,-1,-0.1374764699398492,20251012173526-TorIP_geocoded.csv
185.246.189.99,2025-10-12 07:33:14,-4.5833,55.6667,-1,-0.1235097312896547,20251012173526-TorIP_geocoded.csv
185.246.188.149,2025-10-12 07:45:45,-4.5833,55.6667,-1,-0.1235097312896547,20251012173526-TorIP_geocoded.csv
123.253.35.32,2025-10-12 07:35:40,2.5,112.5,-1,-0.1436363326285497,20251012173526-TorIP_geocoded.csv
185.191.204.254,2025-10-12 07:06:29,31.5,34.75,-1,-0.05523247889609195,20251012173526-TorIP_geocoded.csv
102.130.117.167,2025-10-12 07:14:20,-26.3811,27.8376,-1,-0.15651442652921377,20251012173526-TorIP_geocoded.csv
185.112.146.167,2025-10-12 07:17:01,65.0,-18.0,-1,-0.11033335984009596,20251012173526-TorIP_geocoded.csv
185.106.102.102,2025-10-12 03:47:08,35.0,33.0,-1,-0.03478300971274395,20251012173526-TorIP_geocoded.csv
165.73.242.163,2025-10-12 07:20:46,-29.0,24.0,-1,-0.15989717538855286,20251012173526-TorIP_geocoded.csv
