ip,timestamp,lat,lng
171.25.193.25,2025-10-14 07:26:09,59.3247,18.056
80.67.167.81,2025-10-14 07:43:01,48.8582,2.3387
198.98.51.189,2025-10-14 07:46:00,40.6063,-74.1774
89.58.26.216,2025-10-14 07:47:04,51.2993,9.491
109.70.100.4,2025-10-14 07:43:27,48.1936,16.3726
5.45.102.93,2025-10-14 07:29:39,51.2993,9.491
192.42.116.196,2025-10-14 07:34:44,52.3824,4.8995
45.141.215.62,2025-10-14 07:45:22,45.4722,9.1922
94.102.51.15,2025-10-14 07:08:09,52.3759,4.8975
192.42.116.213,2025-10-14 07:47:08,52.3824,4.8995
45.141.215.80,2025-10-14 07:36:45,45.4722,9.1922
193.26.115.61,2025-10-14 07:46:38,50.1084,8.6841
192.42.116.175,2025-10-14 07:24:15,52.3824,4.8995
149.56.44.47,2025-10-14 07:26:41,45.4995,-73.5848
87.118.116.103,2025-10-14 07:32:25,51.2993,9.491
192.42.116.208,2025-10-14 07:36:44,52.3824,4.8995
89.58.41.156,2025-10-14 07:34:14,51.2993,9.491
2.58.56.43,2025-10-14 07:41:58,48.7855,2.1971
109.70.100.1,2025-10-14 07:44:52,48.1936,16.3726
185.244.192.175,2025-10-14 07:15:25,51.2993,9.491
192.42.116.184,2025-10-14 07:43:59,52.3824,4.8995
179.43.182.232,2025-10-14 07:38:01,47.3682,8.5671
109.70.100.2,2025-10-14 07:45:22,48.1936,16.3726
104.244.75.74,2025-10-12 11:14:31,49.6113,6.1294
37.187.5.192,2025-10-14 07:07:45,48.8582,2.3387
45.141.215.169,2025-10-14 07:35:51,45.4722,9.1922
109.70.100.66,2025-10-14 07:44:32,48.1936,16.3726
179.43.159.199,2025-10-14 07:24:33,47.3682,8.5671
192.42.116.201,2025-10-14 07:38:16,52.3824,4.8995
195.176.3.23,2025-10-14 07:24:06,46.2334,6.1164
45.138.16.42,2025-10-14 07:46:43,52.3824,4.8995
216.73.159.75,2025-10-14 07:46:08,-39.8,-73.2333
185.165.169.239,2025-10-14 07:42:43,-4.5833,55.6667
109.70.100.6,2025-10-14 07:43:52,48.1936,16.3726
45.80.158.27,2025-10-14 07:47:11,52.3824,4.8995
45.138.16.240,2025-10-14 07:39:15,52.3824,4.8995
192.42.116.173,2025-10-14 07:29:58,52.3824,4.8995
192.42.116.200,2025-10-14 07:45:19,52.3824,4.8995
45.141.215.63,2025-10-14 07:44:48,45.4722,9.1922
192.42.116.211,2025-10-14 07:36:44,52.3824,4.8995
109.70.100.69,2025-10-14 07:44:13,48.1936,16.3726
185.35.202.222,2025-10-14 07:23:15,59.955,10.859
109.70.100.65,2025-10-14 07:45:52,48.1936,16.3726
192.42.116.181,2025-10-14 07:38:29,52.3824,4.8995
194.26.192.77,2025-10-14 07:44:28,51.2993,9.491
124.198.132.172,2025-10-14 07:46:28,-42.0,174.0
109.70.100.67,2025-10-14 07:40:43,48.1936,16.3726
128.31.0.13,2025-10-14 07:19:53,37.751,-97.822
192.42.116.174,2025-10-14 07:42:31,52.3824,4.8995
185.241.208.115,2025-10-14 07:44:27,52.3824,4.8995
192.42.116.202,2025-10-14 07:44:06,52.3824,4.8995
45.141.215.97,2025-10-14 07:28:01,45.4722,9.1922
78.142.18.219,2025-10-14 07:46:13,42.696,23.332
192.42.116.192,2025-10-14 07:44:18,52.3824,4.8995
190.120.229.98,2025-10-14 07:20:39,-12.0464,-77.0428
192.42.116.177,2025-10-14 07:42:32,52.3824,4.8995
45.138.16.113,2025-10-14 07:32:23,52.3824,4.8995
192.42.116.212,2025-10-14 07:28:18,52.3824,4.8995
45.138.16.222,2025-10-14 07:43:46,52.3824,4.8995
87.118.122.51,2025-10-14 07:46:56,51.2993,9.491
5.255.103.235,2025-10-14 07:20:59,52.3824,4.8995
192.42.116.179,2025-10-14 07:47:46,52.3824,4.8995
185.195.71.244,2025-10-14 07:32:53,47.1449,8.1551
193.105.134.155,2025-10-14 07:03:00,54.23,-4.57
51.15.59.15,2025-10-14 07:15:39,52.3803,4.6422
192.42.116.191,2025-10-14 07:41:48,52.3824,4.8995
171.25.193.79,2025-10-14 07:46:19,59.3247,18.056
45.88.186.92,2025-10-14 07:41:58,39.0019,-77.4556
95.143.193.125,2025-10-14 07:05:15,55.6078,12.9982
195.176.3.24,2025-10-14 07:12:47,46.2334,6.1164
192.42.116.182,2025-10-14 07:37:31,52.3824,4.8995
109.70.100.70,2025-10-14 07:46:33,48.1936,16.3726
194.15.112.133,2025-10-14 07:38:01,51.4964,-0.1224
192.42.116.180,2025-10-14 07:42:58,52.3824,4.8995
192.42.116.199,2025-10-14 07:47:51,52.3824,4.8995
45.141.215.114,2025-10-14 07:44:17,45.4722,9.1922
192.42.116.210,2025-10-14 07:35:24,52.3824,4.8995
192.42.116.218,2025-10-14 07:40:11,52.3824,4.8995
91.208.75.4,2025-10-14 07:26:22,45.9968,24.997
162.251.5.152,2025-10-14 07:14:21,37.751,-97.822
45.138.16.76,2025-10-14 07:41:28,52.3824,4.8995
192.42.116.178,2025-10-14 07:43:42,52.3824,4.8995
45.134.225.36,2025-10-14 07:40:45,51.2993,9.491
109.70.100.5,2025-10-14 07:31:06,48.1936,16.3726
185.40.4.29,2025-10-14 07:44:54,55.9155,37.8263
192.42.116.176,2025-10-14 07:40:37,52.3824,4.8995
109.70.100.71,2025-10-14 07:44:22,48.1936,16.3726
66.146.193.33,2025-10-14 07:21:32,41.923,-87.7531
45.138.16.69,2025-10-14 07:37:14,52.3824,4.8995
45.141.215.95,2025-10-14 07:46:57,45.4722,9.1922
192.42.116.219,2025-10-14 07:31:23,52.3824,4.8995
139.99.172.11,2025-10-14 07:44:12,-33.8601,151.2101
80.241.60.207,2025-10-14 07:20:44,52.5321,13.4012
192.42.116.194,2025-10-14 07:45:32,52.3824,4.8995
109.70.100.3,2025-10-14 07:43:28,48.1936,16.3726
179.43.159.200,2025-10-14 07:08:56,47.3682,8.5671
192.42.116.217,2025-10-14 07:38:48,52.3824,4.8995
163.172.45.102,2025-10-14 06:26:23,49.1228,6.1742
192.42.116.195,2025-10-14 07:43:54,52.3824,4.8995
45.141.215.110,2025-10-14 07:40:22,45.4722,9.1922
45.95.169.110,2025-10-14 07:32:36,45.4675,16.3868
190.211.254.97,2025-10-14 07:39:46,51.5164,-0.093
45.141.215.61,2025-10-14 07:45:28,45.4722,9.1922
192.42.116.203,2025-10-14 07:31:19,52.3824,4.8995
91.132.144.59,2025-10-14 07:13:18,51.2993,9.491
185.183.157.214,2025-10-14 07:40:19,49.7894,9.9262
192.42.116.186,2025-10-14 07:47:34,52.3824,4.8995
192.42.116.197,2025-10-14 07:47:52,52.3824,4.8995
212.73.134.204,2025-10-14 07:41:09,42.696,23.332
188.68.49.235,2025-10-14 07:22:00,53.1564,11.0018
199.195.253.180,2025-10-14 07:33:20,40.6063,-74.1774
171.25.193.234,2025-10-14 07:35:14,59.3247,18.056
185.241.208.71,2025-10-14 07:45:46,52.3824,4.8995
192.42.116.216,2025-10-14 07:28:26,52.3824,4.8995
192.42.116.198,2025-10-14 07:34:21,52.3824,4.8995
199.195.251.119,2025-10-14 07:44:11,40.6063,-74.1774
185.40.4.101,2025-10-14 07:27:20,55.9155,37.8263
2.58.56.35,2025-10-14 07:41:16,48.7855,2.1971
138.59.18.110,2025-10-14 07:12:44,10.0029,-84.0
185.246.188.73,2025-10-14 07:41:51,-4.5833,55.6667
192.42.116.214,2025-10-14 07:15:01,52.3824,4.8995
188.68.41.191,2025-10-14 07:18:01,53.1564,11.0018
192.42.116.183,2025-10-14 07:44:25,52.3824,4.8995
179.43.159.197,2025-10-14 07:44:20,47.3682,8.5671
89.234.157.254,2025-10-14 07:46:18,43.4851,1.4505
5.255.99.5,2025-10-14 07:31:43,52.3824,4.8995
179.43.182.58,2025-10-14 07:40:15,47.3682,8.5671
107.189.30.69,2025-10-12 09:32:23,49.6113,6.1294
185.207.107.216,2025-10-14 07:08:51,51.2993,9.491
185.100.87.41,2025-10-14 07:35:03,44.4117,26.0422
179.43.159.201,2025-10-14 07:05:39,47.3682,8.5671
185.244.192.184,2025-10-14 07:22:39,51.2993,9.491
195.88.74.206,2025-10-14 07:40:28,42.696,23.332
109.70.100.68,2025-10-14 07:43:21,48.1936,16.3726
94.230.208.147,2025-10-14 07:38:34,47.3857,8.5348
77.81.247.72,2025-10-14 07:30:50,52.3891,4.6563
2.58.56.220,2025-10-14 07:42:53,48.7855,2.1971
83.96.213.63,2025-10-14 07:07:41,52.3085,5.036
185.100.87.174,2025-10-14 07:01:41,44.4117,26.0422
217.12.221.131,2025-10-14 07:23:09,49.982,36.2566
179.43.159.196,2025-10-14 06:11:30,47.3682,8.5671
192.42.116.209,2025-10-14 07:29:00,52.3824,4.8995
94.230.208.148,2025-10-14 07:09:36,47.3857,8.5348
95.128.43.164,2025-10-14 07:01:59,48.9319,2.3033
171.25.193.20,2025-10-14 07:38:28,59.3247,18.056
102.130.113.9,2025-10-14 07:47:25,-26.3811,27.8376
185.227.134.106,2025-10-14 07:41:54,47.4902,-122.3004
71.19.144.106,2025-10-14 07:16:56,37.353,-121.9543
91.208.75.178,2025-10-14 07:37:43,45.9968,24.997
185.246.188.74,2025-10-14 07:43:51,-4.5833,55.6667
45.132.246.245,2025-10-14 07:18:48,51.2993,9.491
209.141.55.26,2025-10-14 07:08:41,36.102,-115.1447
185.100.87.136,2025-10-14 07:20:44,44.4117,26.0422
192.42.116.185,2025-10-14 07:37:27,52.3824,4.8995
5.45.104.176,2025-10-14 07:31:52,51.2993,9.491
192.42.116.193,2025-10-14 07:39:37,52.3824,4.8995
91.208.75.153,2025-10-14 07:37:51,45.9968,24.997
179.43.159.194,2025-10-14 07:25:27,47.3682,8.5671
198.98.48.33,2025-10-14 07:33:50,40.6063,-74.1774
188.68.52.231,2025-10-14 07:38:34,53.1564,11.0018
87.118.116.90,2025-10-14 07:31:41,51.2993,9.491
185.129.62.62,2025-10-14 07:03:26,55.7123,12.0564
185.207.107.130,2025-10-14 07:28:27,51.2993,9.491
87.118.122.30,2025-10-14 07:29:49,51.2993,9.491
171.25.193.77,2025-10-14 07:36:35,59.3247,18.056
81.16.33.42,2025-10-14 07:16:39,48.2048,16.3801
51.81.222.62,2025-10-14 07:29:11,45.5229,-122.9898
45.138.16.239,2025-10-14 07:44:08,52.3824,4.8995
5.255.97.221,2025-10-14 07:02:48,52.3824,4.8995
80.82.78.14,2025-10-14 07:45:42,52.3759,4.8975
173.255.198.243,2025-10-14 07:24:13,32.9473,-96.7028
5.255.111.64,2025-10-14 06:14:47,52.3824,4.8995
216.73.159.101,2025-10-13 11:20:51,-39.8,-73.2333
194.15.115.212,2025-10-14 07:42:07,51.4964,-0.1224
80.67.172.162,2025-10-14 07:43:16,48.8582,2.3387
160.119.249.240,2025-10-14 07:29:00,-29.0,24.0
54.36.101.21,2025-10-14 07:09:46,48.8582,2.3387
171.25.193.80,2025-10-14 07:36:45,59.3247,18.056
124.198.131.253,2025-10-14 07:46:12,-42.0,174.0
103.251.167.10,2025-10-14 07:35:56,52.5378,5.6966
185.34.33.2,2025-10-14 07:25:38,48.8582,2.3387
5.255.98.23,2025-10-14 07:33:54,52.3824,4.8995
185.241.208.82,2025-10-14 07:32:26,52.3824,4.8995
205.185.117.149,2025-10-14 07:04:24,36.102,-115.1447
103.109.101.105,2025-10-14 07:12:45,22.2578,114.1657
89.147.110.154,2025-10-14 07:35:36,47.4919,19.05
72.14.179.10,2025-10-14 07:06:11,32.9473,-96.7028
46.232.251.191,2025-10-14 07:07:47,51.2993,9.491
93.123.12.112,2025-10-14 07:07:21,42.696,23.332
204.85.191.8,2025-10-14 07:09:33,35.9153,-79.0386
185.56.171.94,2025-10-14 07:45:23,43.1479,12.1097
179.43.159.198,2025-10-14 07:01:17,47.3682,8.5671
45.145.93.133,2025-10-14 07:15:50,55.7123,12.0564
192.42.116.215,2025-10-14 07:21:59,52.3824,4.8995
91.208.75.239,2025-10-14 07:00:45,45.9968,24.997
193.105.134.150,2025-10-14 07:10:45,54.23,-4.57
209.141.46.203,2025-10-14 07:11:18,36.102,-115.1447
176.118.193.33,2025-10-14 07:29:24,48.2048,16.3801
204.85.191.7,2025-10-14 06:29:57,35.9153,-79.0386
91.208.75.156,2025-10-14 07:26:20,45.9968,24.997
205.185.116.34,2025-10-14 07:11:47,36.102,-115.1447
179.43.159.195,2025-10-14 07:44:14,47.3682,8.5671
185.154.110.142,2025-10-14 07:03:53,59.3691,17.8808
91.206.26.26,2025-10-14 07:38:52,52.2394,21.0362
162.216.18.62,2025-10-14 07:04:26,40.8229,-74.4592
107.189.2.108,2025-10-14 07:13:28,49.6113,6.1294
5.45.98.162,2025-10-14 07:39:09,51.2993,9.491
185.82.219.109,2025-10-14 07:44:11,42.6951,23.325
5.255.98.151,2025-10-14 07:10:04,52.3824,4.8995
185.130.47.58,2025-10-14 07:25:03,52.352,4.9392
185.154.110.17,2025-10-14 07:25:37,59.3691,17.8808
109.169.33.163,2025-10-14 07:36:15,51.4964,-0.1224
5.2.67.226,2025-10-14 07:35:58,52.3824,4.8995
83.97.20.77,2025-10-14 07:39:55,44.4152,26.166
198.58.107.53,2025-10-14 06:32:50,32.9473,-96.7028
185.241.208.54,2025-10-14 07:26:07,52.3824,4.8995
185.225.69.203,2025-10-14 07:01:15,47.4919,19.05
185.170.114.25,2025-10-14 07:43:42,51.2993,9.491
205.185.123.93,2025-10-14 07:43:20,36.102,-115.1447
205.185.121.170,2025-10-14 07:12:51,36.102,-115.1447
104.244.78.162,2025-10-14 07:21:20,49.6113,6.1294
5.255.100.26,2025-10-14 07:37:58,52.3824,4.8995
185.241.208.202,2025-10-14 07:41:50,52.3824,4.8995
185.241.208.206,2025-10-14 07:41:41,52.3824,4.8995
51.222.142.67,2025-10-14 07:11:21,45.4995,-73.5848
185.183.159.40,2025-10-14 07:13:49,49.7894,9.9262
84.16.224.227,2025-10-14 07:29:16,51.2993,9.491
67.219.109.141,2025-10-14 07:12:35,37.751,-97.822
178.218.144.51,2025-10-14 07:40:36,45.4722,9.1922
45.66.35.21,2025-10-14 07:41:29,52.3591,4.793
45.66.35.20,2025-10-14 07:42:34,52.3591,4.793
198.96.155.3,2025-10-14 07:11:40,43.6319,-79.3716
185.129.62.63,2025-10-14 07:42:23,55.7123,12.0564
205.185.124.176,2025-10-14 07:25:55,36.102,-115.1447
5.255.117.56,2025-10-14 07:08:32,52.3824,4.8995
179.43.159.78,2025-10-14 06:15:55,47.3682,8.5671
81.17.28.95,2025-10-14 07:37:22,47.3857,8.5348
89.147.110.118,2025-10-14 07:05:39,47.4919,19.05
93.95.228.125,2025-10-14 07:05:44,64.1439,-21.98
125.212.241.131,2025-10-14 07:44:19,10.822,106.6257
104.192.3.74,2025-10-14 07:42:18,37.751,-97.822
91.92.109.43,2025-10-14 07:09:12,42.696,23.332
185.246.189.99,2025-10-14 07:25:14,-4.5833,55.6667
204.137.14.106,2025-10-14 07:02:41,37.751,-97.822
204.137.14.104,2025-10-14 07:09:50,37.751,-97.822
204.137.14.105,2025-10-14 07:47:23,37.751,-97.822
204.137.14.92,2025-10-14 07:21:21,37.751,-97.822
185.220.101.35,2025-10-14 07:08:09,51.2993,9.491
185.220.101.44,2025-10-14 07:11:15,51.2993,9.491
185.220.101.49,2025-10-14 07:06:39,51.2993,9.491
185.220.101.34,2025-10-14 07:32:05,51.2993,9.491
185.220.101.63,2025-10-14 07:18:46,51.2993,9.491
185.220.101.55,2025-10-14 07:10:49,51.2993,9.491
185.220.101.46,2025-10-14 07:28:33,51.2993,9.491
185.220.101.32,2025-10-14 07:28:33,51.2993,9.491
185.220.101.33,2025-10-14 07:30:11,51.2993,9.491
185.220.101.43,2025-10-14 07:38:51,51.2993,9.491
185.220.101.51,2025-10-14 07:46:49,51.2993,9.491
185.220.101.36,2025-10-14 07:34:40,51.2993,9.491
185.220.101.52,2025-10-14 07:01:15,51.2993,9.491
185.220.101.38,2025-10-14 07:14:59,51.2993,9.491
185.220.101.50,2025-10-14 07:47:07,51.2993,9.491
185.220.101.53,2025-10-14 07:05:02,51.2993,9.491
185.220.101.61,2025-10-14 07:01:28,51.2993,9.491
185.220.101.57,2025-10-14 07:46:28,51.2993,9.491
185.220.101.37,2025-10-14 07:16:49,51.2993,9.491
185.220.101.42,2025-10-14 07:35:43,51.2993,9.491
185.220.101.47,2025-10-14 07:07:18,51.2993,9.491
185.220.101.39,2025-10-14 07:14:02,51.2993,9.491
185.220.101.41,2025-10-14 07:08:26,51.2993,9.491
185.220.101.56,2025-10-14 07:04:30,51.2993,9.491
185.220.101.40,2025-10-14 07:12:15,51.2993,9.491
185.220.101.48,2025-10-14 07:45:02,51.2993,9.491
185.220.101.60,2025-10-14 07:00:52,51.2993,9.491
185.220.101.62,2025-10-14 07:30:50,51.2993,9.491
185.220.101.45,2025-10-14 07:43:31,51.2993,9.491
185.220.101.54,2025-10-14 07:46:17,51.2993,9.491
185.220.101.58,2025-10-14 07:10:42,51.2993,9.491
185.220.101.59,2025-10-14 07:12:01,51.2993,9.491
185.246.128.161,2025-10-14 07:20:48,59.3274,18.0653
92.243.24.163,2025-10-14 07:23:12,48.8582,2.3387
91.219.236.101,2025-10-14 07:28:21,47.4919,19.05
107.189.13.254,2025-10-14 07:10:36,49.6113,6.1294
209.141.32.198,2025-10-14 07:06:57,36.102,-115.1447
130.193.15.186,2025-10-14 07:02:14,50.0804,14.5045
171.25.193.78,2025-10-14 07:40:50,59.3247,18.056
185.246.188.149,2025-10-14 07:47:12,-4.5833,55.6667
45.12.3.80,2025-10-14 07:03:37,50.4522,30.5287
123.253.35.32,2025-10-14 07:20:11,2.5,112.5
185.246.84.179,2025-10-14 07:25:57,48.8582,2.3387
66.220.242.222,2025-10-13 20:42:48,43.6171,-72.9636
185.191.204.254,2025-10-14 07:24:02,31.5,34.75
107.189.13.180,2025-10-14 07:28:23,49.6113,6.1294
102.130.117.167,2025-10-14 07:23:46,-26.3811,27.8376
5.255.104.202,2025-10-14 07:43:16,52.3824,4.8995
5.255.98.198,2025-10-14 07:26:09,52.3824,4.8995
178.218.144.18,2025-10-14 07:46:41,45.4722,9.1922
104.219.236.100,2025-10-14 07:17:02,37.751,-97.822
46.165.243.36,2025-10-14 07:45:40,51.2993,9.491
85.93.218.204,2025-10-14 07:13:40,49.4998,5.9802
45.141.215.40,2025-10-14 07:30:47,45.4722,9.1922
195.80.151.242,2025-10-14 07:12:25,42.6951,23.325
89.147.108.90,2025-10-14 07:31:28,47.4919,19.05
176.97.114.202,2025-10-14 07:03:46,50.4522,30.5287
62.182.84.146,2025-10-14 07:16:46,50.458,30.5303
212.21.66.6,2025-10-14 07:46:38,52.1143,11.5903
91.202.5.104,2025-10-14 07:11:25,52.2394,21.0362
98.128.173.33,2025-10-14 07:37:46,57.7065,11.967
45.66.35.22,2025-10-14 07:26:36,52.3591,4.793
199.195.253.124,2025-10-14 07:26:20,40.6063,-74.1774
204.8.156.142,2025-10-14 07:01:45,42.2904,-71.0712
185.112.146.167,2025-10-14 07:04:14,65.0,-18.0
185.42.170.203,2025-10-14 07:07:26,59.0,26.0
45.11.59.28,2025-10-14 07:12:34,42.3887,-72.5144
91.92.109.126,2025-10-14 07:35:11,42.696,23.332
5.2.72.110,2025-10-14 07:47:13,52.3824,4.8995
172.234.228.174,2025-10-14 07:17:52,37.751,-97.822
94.142.241.194,2025-10-14 07:43:02,52.3824,4.8995
94.142.244.16,2025-10-14 07:10:35,52.3824,4.8995
185.106.102.102,2025-10-14 07:01:11,35.0,33.0
93.99.104.194,2025-10-14 07:46:55,49.0506,17.465
212.69.167.80,2025-10-14 07:00:36,48.8582,2.3387
31.133.0.210,2025-10-14 07:06:08,52.2394,21.0362
45.94.31.68,2025-10-14 07:36:22,39.0019,-77.4556
165.73.242.163,2025-10-14 07:11:33,-29.0,24.0
185.40.4.38,2025-10-14 07:41:59,55.9155,37.8263
185.241.208.81,2025-10-14 06:06:37,52.3824,4.8995
27.255.75.198,2025-10-14 07:26:25,37.5112,126.9741
51.38.225.46,2025-10-14 07:05:50,48.8582,2.3387
185.225.69.232,2025-10-14 07:30:35,47.4919,19.05
91.203.145.116,2025-10-14 07:09:18,50.4522,30.5287
23.155.8.104,2025-10-14 07:17:35,,
209.141.32.181,2025-10-14 07:40:47,36.102,-115.1447
5.104.86.6,2025-10-14 07:38:27,60.1717,24.9349
23.137.253.27,2025-10-14 07:47:39,,
114.35.245.150,2025-10-14 07:33:46,25.0504,121.5324
107.189.30.49,2025-10-14 07:28:11,49.6113,6.1294
107.189.29.184,2025-10-14 07:45:28,49.6113,6.1294
185.40.4.132,2025-10-14 07:36:33,55.9155,37.8263
185.40.4.149,2025-10-14 07:20:38,55.9155,37.8263
45.141.215.17,2025-10-14 07:47:47,45.4722,9.1922
45.141.215.19,2025-10-14 07:43:05,45.4722,9.1922
103.164.54.199,2025-10-14 07:12:03,1.3673,103.8014
130.193.10.21,2025-10-14 06:07:34,50.0804,14.5045
24.240.72.170,2025-10-14 07:29:43,45.21,-93.6607
171.25.193.235,2025-10-14 07:45:05,59.3247,18.056
178.175.148.246,2025-10-14 07:06:02,48.1569,28.301
5.255.123.158,2025-10-14 07:05:11,52.3824,4.8995
45.128.133.242,2025-10-14 07:46:30,50.8509,4.3447
185.40.4.92,2025-10-14 07:45:51,55.9155,37.8263
2.56.10.36,2025-10-14 07:28:52,-4.5833,55.6667
87.118.110.27,2025-10-14 07:39:40,51.2993,9.491
178.17.170.144,2025-10-14 07:21:06,47.0042,28.8574
149.202.79.129,2025-10-14 07:30:19,48.8582,2.3387
91.208.75.3,2025-10-14 07:16:42,45.9968,24.997
93.95.231.88,2025-10-14 07:36:12,65.0,-18.0
209.141.51.180,2025-10-14 07:39:06,36.102,-115.1447
202.182.99.129,2025-10-14 07:33:19,35.5819,139.7663
45.83.104.137,2025-10-14 07:42:23,48.4469,12.0394
185.40.4.150,2025-10-14 07:06:24,55.9155,37.8263
45.84.107.76,2025-10-14 07:47:56,51.2993,9.491
45.84.107.198,2025-10-14 07:46:48,51.2993,9.491
45.84.107.182,2025-10-14 07:34:39,51.2993,9.491
172.81.131.156,2025-10-14 07:02:16,37.751,-97.822
172.81.132.94,2025-10-14 07:06:48,37.751,-97.822
31.129.22.65,2025-10-14 07:14:25,50.2705,127.5352
212.38.189.186,2025-10-14 07:34:24,55.806,-3.9417
84.239.46.144,2025-10-14 07:17:16,45.9968,24.997
193.239.232.102,2025-10-14 07:43:40,59.3247,18.056
87.118.116.12,2025-10-14 07:00:56,51.2993,9.491
178.218.144.99,2025-10-14 07:21:02,45.4722,9.1922
185.40.4.100,2025-10-14 07:37:26,55.9155,37.8263
146.59.126.232,2025-10-14 07:33:14,48.8582,2.3387
66.78.40.182,2025-10-14 07:26:05,39.7356,-75.5516
185.100.85.132,2025-10-14 07:40:33,44.4152,26.166
195.47.238.178,2025-10-14 07:14:44,57.7065,11.967
195.47.238.82,2025-10-14 07:20:01,57.7065,11.967
88.80.26.2,2025-10-14 07:42:56,59.3247,18.056
88.80.26.4,2025-10-14 07:39:07,59.3247,18.056
104.244.78.232,2025-10-14 07:21:53,49.6113,6.1294
192.76.153.253,2025-10-14 07:46:06,52.3824,4.8995
200.122.181.2,2025-10-14 07:31:54,10.0029,-84.0
