ip,timestamp,lat,lng
171.25.193.25,2025-10-06 07:27:53,59.3247,18.056
80.67.167.81,2025-10-06 07:36:11,48.8582,2.3387
198.98.51.189,2025-10-06 07:18:24,40.6063,-74.1774
89.58.26.216,2025-10-06 07:44:35,51.2993,9.491
109.70.100.4,2025-10-06 07:39:20,48.1936,16.3726
5.45.102.93,2025-10-06 07:25:33,51.2993,9.491
192.42.116.196,2025-10-06 07:44:32,52.3824,4.8995
45.141.215.62,2025-10-06 07:32:58,45.4722,9.1922
94.102.51.15,2025-10-06 07:34:25,52.3759,4.8975
192.42.116.213,2025-10-06 07:29:43,52.3824,4.8995
45.141.215.80,2025-10-06 07:40:03,45.4722,9.1922
193.26.115.61,2025-10-06 06:05:52,50.1084,8.6841
192.42.116.175,2025-10-06 07:45:45,52.3824,4.8995
149.56.44.47,2025-10-06 07:36:23,45.4995,-73.5848
87.118.116.103,2025-10-06 07:37:42,51.2993,9.491
192.42.116.208,2025-10-06 07:35:45,52.3824,4.8995
89.58.41.156,2025-10-06 07:27:18,51.2993,9.491
2.58.56.43,2025-10-06 07:45:56,48.7855,2.1971
109.70.100.1,2025-10-06 07:43:03,48.1936,16.3726
185.244.192.175,2025-10-06 07:18:46,51.2993,9.491
192.42.116.184,2025-10-06 07:32:13,52.3824,4.8995
179.43.182.232,2025-10-06 07:21:03,47.3682,8.5671
109.70.100.2,2025-10-06 07:39:52,48.1936,16.3726
104.244.75.74,2025-10-06 07:30:05,49.6113,6.1294
37.187.5.192,2025-10-06 07:42:35,48.8582,2.3387
45.141.215.169,2025-10-06 07:46:48,45.4722,9.1922
109.70.100.66,2025-10-06 07:43:57,48.1936,16.3726
179.43.159.199,2025-10-06 07:23:51,47.3682,8.5671
192.42.116.201,2025-10-06 07:26:12,52.3824,4.8995
195.176.3.23,2025-10-06 07:16:10,46.2334,6.1164
45.138.16.42,2025-10-06 07:46:19,52.3824,4.8995
216.73.159.75,2025-10-06 07:26:50,-39.8,-73.2333
185.165.169.239,2025-10-06 07:45:36,-4.5833,55.6667
109.70.100.6,2025-10-06 07:46:24,48.1936,16.3726
45.80.158.27,2025-10-06 07:21:17,52.3824,4.8995
45.138.16.240,2025-10-06 07:35:25,52.3824,4.8995
192.42.116.173,2025-10-06 07:38:24,52.3824,4.8995
192.42.116.200,2025-10-06 07:43:13,52.3824,4.8995
45.141.215.63,2025-10-06 07:46:05,45.4722,9.1922
192.42.116.211,2025-10-06 07:32:38,52.3824,4.8995
109.70.100.69,2025-10-06 07:16:49,48.1936,16.3726
185.35.202.222,2025-10-06 07:15:12,59.955,10.859
109.70.100.65,2025-10-06 07:32:52,48.1936,16.3726
192.42.116.181,2025-10-06 07:43:58,52.3824,4.8995
194.26.192.77,2025-10-06 07:30:49,51.2993,9.491
124.198.132.172,2025-10-06 07:42:21,-42.0,174.0
109.70.100.67,2025-10-06 07:45:33,48.1936,16.3726
128.31.0.13,2025-10-06 07:39:41,37.751,-97.822
192.42.116.174,2025-10-06 07:33:20,52.3824,4.8995
185.241.208.115,2025-10-06 07:37:34,52.3824,4.8995
192.42.116.202,2025-10-06 07:39:56,52.3824,4.8995
45.141.215.97,2025-10-06 07:38:52,45.4722,9.1922
78.142.18.219,2025-10-06 07:30:52,42.696,23.332
192.42.116.192,2025-10-06 07:45:24,52.3824,4.8995
190.120.229.98,2025-10-06 07:31:25,-12.0464,-77.0428
192.42.116.177,2025-10-06 07:44:06,52.3824,4.8995
45.138.16.113,2025-10-06 07:43:49,52.3824,4.8995
192.42.116.212,2025-10-06 07:31:07,52.3824,4.8995
45.138.16.222,2025-10-06 07:43:38,52.3824,4.8995
87.118.122.51,2025-10-06 07:20:17,51.2993,9.491
5.255.103.235,2025-10-06 07:18:12,52.3824,4.8995
192.42.116.179,2025-10-06 07:37:21,52.3824,4.8995
185.195.71.244,2025-10-06 07:36:41,47.1449,8.1551
193.105.134.155,2025-10-06 07:29:25,54.23,-4.57
51.15.59.15,2025-10-06 07:33:12,52.3803,4.6422
192.42.116.191,2025-10-06 07:46:20,52.3824,4.8995
171.25.193.79,2025-10-06 07:35:59,59.3247,18.056
45.88.186.92,2025-10-06 06:17:29,39.0019,-77.4556
95.143.193.125,2025-10-06 07:25:40,55.6078,12.9982
195.176.3.24,2025-10-06 07:44:24,46.2334,6.1164
192.42.116.182,2025-10-06 07:44:22,52.3824,4.8995
109.70.100.70,2025-10-06 07:42:23,48.1936,16.3726
194.15.112.133,2025-10-06 07:16:43,51.4964,-0.1224
192.42.116.180,2025-10-06 07:40:47,52.3824,4.8995
192.42.116.199,2025-10-06 07:38:17,52.3824,4.8995
45.141.215.114,2025-10-06 07:46:32,45.4722,9.1922
192.42.116.210,2025-10-06 07:45:03,52.3824,4.8995
192.42.116.218,2025-10-06 07:46:03,52.3824,4.8995
91.208.75.4,2025-10-06 07:02:16,45.9968,24.997
162.251.5.152,2025-10-06 07:24:30,37.751,-97.822
45.138.16.76,2025-10-06 07:36:32,52.3824,4.8995
192.42.116.178,2025-10-06 07:39:47,52.3824,4.8995
45.134.225.36,2025-10-06 07:30:29,51.2993,9.491
109.70.100.5,2025-10-06 07:45:17,48.1936,16.3726
185.40.4.29,2025-10-06 07:44:17,55.9155,37.8263
192.42.116.176,2025-10-06 07:31:32,52.3824,4.8995
109.70.100.71,2025-10-06 07:43:49,48.1936,16.3726
66.146.193.33,2025-10-06 07:26:58,41.923,-87.7531
45.138.16.69,2025-10-06 07:40:40,52.3824,4.8995
45.141.215.95,2025-10-06 07:36:51,45.4722,9.1922
192.42.116.219,2025-10-06 07:43:29,52.3824,4.8995
139.99.172.11,2025-10-06 07:44:18,-33.8601,151.2101
80.241.60.207,2025-10-06 07:12:02,52.5321,13.4012
192.42.116.194,2025-10-06 07:44:25,52.3824,4.8995
109.70.100.3,2025-10-06 07:45:51,48.1936,16.3726
179.43.159.200,2025-10-06 07:22:26,47.3682,8.5671
192.42.116.217,2025-10-06 07:40:24,52.3824,4.8995
163.172.45.102,2025-10-06 07:45:48,49.1228,6.1742
192.42.116.195,2025-10-06 07:46:31,52.3824,4.8995
45.141.215.110,2025-10-06 07:46:55,45.4722,9.1922
45.95.169.110,2025-10-06 07:46:36,45.4675,16.3868
190.211.254.97,2025-10-06 07:14:34,51.5164,-0.093
45.141.215.61,2025-10-06 07:44:31,45.4722,9.1922
192.42.116.203,2025-10-06 07:39:39,52.3824,4.8995
91.132.144.59,2025-10-06 07:44:10,51.2993,9.491
185.183.157.214,2025-10-06 07:26:25,49.7894,9.9262
192.42.116.186,2025-10-06 07:38:32,52.3824,4.8995
192.42.116.197,2025-10-06 07:44:33,52.3824,4.8995
212.73.134.204,2025-10-06 07:14:05,42.696,23.332
188.68.49.235,2025-10-06 07:20:59,53.1564,11.0018
199.195.253.180,2025-10-06 07:21:05,40.6063,-74.1774
171.25.193.234,2025-10-06 07:15:58,59.3247,18.056
185.241.208.71,2025-10-06 07:45:32,52.3824,4.8995
192.42.116.216,2025-10-06 07:42:36,52.3824,4.8995
192.42.116.198,2025-10-06 07:44:46,52.3824,4.8995
199.195.251.119,2025-10-06 07:37:47,40.6063,-74.1774
185.40.4.101,2025-10-06 07:42:25,55.9155,37.8263
2.58.56.35,2025-10-06 07:41:57,48.7855,2.1971
138.59.18.110,2025-10-06 07:36:57,10.0029,-84.0
185.246.188.73,2025-10-06 07:32:41,-4.5833,55.6667
192.42.116.214,2025-10-06 07:41:21,52.3824,4.8995
188.68.41.191,2025-10-06 07:38:22,53.1564,11.0018
192.42.116.183,2025-10-06 07:44:15,52.3824,4.8995
179.43.159.197,2025-10-06 07:45:34,47.3682,8.5671
89.234.157.254,2025-10-06 07:39:22,43.4851,1.4505
5.255.99.5,2025-10-06 07:09:22,52.3824,4.8995
179.43.182.58,2025-10-06 07:07:24,47.3682,8.5671
107.189.30.69,2025-10-06 07:06:27,49.6113,6.1294
185.207.107.216,2025-10-06 07:24:10,51.2993,9.491
185.100.87.41,2025-10-06 07:06:51,44.4117,26.0422
179.43.159.201,2025-10-06 07:11:43,47.3682,8.5671
185.244.192.184,2025-10-06 07:17:56,51.2993,9.491
195.88.74.206,2025-10-06 07:30:32,42.696,23.332
109.70.100.68,2025-10-06 07:44:05,48.1936,16.3726
94.230.208.147,2025-10-06 07:26:22,47.3857,8.5348
77.81.247.72,2025-10-06 07:40:44,52.3891,4.6563
2.58.56.220,2025-10-06 07:44:52,48.7855,2.1971
83.96.213.63,2025-10-06 06:16:18,52.3085,5.036
185.100.87.174,2025-10-06 07:43:42,44.4117,26.0422
217.12.221.131,2025-10-06 06:38:12,49.982,36.2566
179.43.159.196,2025-10-06 07:39:51,47.3682,8.5671
192.42.116.209,2025-10-06 07:24:24,52.3824,4.8995
94.230.208.148,2025-10-06 07:06:44,47.3857,8.5348
95.128.43.164,2025-10-06 07:43:02,48.9319,2.3033
171.25.193.20,2025-10-06 07:44:14,59.3247,18.056
102.130.113.9,2025-10-06 07:34:51,-26.3811,27.8376
185.227.134.106,2025-10-06 07:09:45,47.4902,-122.3004
71.19.144.106,2025-10-06 07:31:36,37.353,-121.9543
91.208.75.178,2025-10-05 20:20:33,45.9968,24.997
185.246.188.74,2025-10-06 07:42:51,-4.5833,55.6667
45.132.246.245,2025-10-06 07:03:58,51.2993,9.491
209.141.55.26,2025-10-06 07:28:52,36.102,-115.1447
185.100.87.136,2025-10-06 07:35:02,44.4117,26.0422
192.42.116.185,2025-10-06 07:38:21,52.3824,4.8995
5.45.104.176,2025-10-06 07:38:10,51.2993,9.491
192.42.116.193,2025-10-06 07:40:40,52.3824,4.8995
91.208.75.153,2025-10-06 07:34:02,45.9968,24.997
