Date,Price
1965-10-01,0.01999999999999602
1965-11-01,0.01999999999999602
1965-12-01,0.01999999999999602
1966-01-01,0.010000000000005116
1966-02-01,0.010000000000005116
1966-03-01,0.010000000000005116
1966-04-01,0.010000000000005116
1966-05-01,0.010000000000005116
1966-06-01,0.010000000000005116
1966-07-01,0.010000000000005116
1966-08-01,0.010000000000005116
1966-09-01,0.010000000000005116
1966-10-01,0.010000000000005116
1966-11-01,0.010000000000005116
1966-12-01,0.010000000000005116
1967-01-01,-0.17999999999999972
1967-02-01,-0.17999999999999972
1967-03-01,-0.17999999999999972
1967-04-01,-0.17999999999999972
1967-05-01,-0.17999999999999972
1967-06-01,-0.17999999999999972
1967-07-01,-0.17999999999999972
1967-08-01,-0.17999999999999972
1967-09-01,-0.17999999999999972
1967-10-01,-0.17999999999999972
1967-11-01,-0.17999999999999972
1967-12-01,-0.17999999999999972
1968-01-01,0.5499999999999972
1968-02-01,1.0499999999999972
1968-03-01,2.049999999999997
1968-04-01,2.9099999999999966
1968-05-01,5.75
1968-06-01,6.189999999999998
1968-07-01,4.509999999999998
1968-08-01,4.239999999999995
1968-09-01,5.229999999999997
1968-10-01,4.259999999999998
1968-11-01,4.829999999999998
1968-12-01,6.1299999999999955
1969-01-01,6.799999999999997
1969-02-01,6.600000000000001
1969-03-01,6.159999999999997
1969-04-01,5.450000000000003
1969-05-01,2.759999999999998
1969-06-01,0.29999999999999716
1969-07-01,2.299999999999997
1969-08-01,1.9000000000000057
1969-09-01,0.6899999999999977
1969-10-01,1.2299999999999969
1969-11-01,-2.3800000000000026
1969-12-01,-5.909999999999997
1970-01-01,-7.359999999999999
1970-02-01,-7.609999999999999
1970-03-01,-8.069999999999993
1970-04-01,-7.690000000000005
1970-05-01,-7.509999999999998
1970-06-01,-6.019999999999996
1970-07-01,-6.439999999999998
1970-08-01,-5.710000000000001
1970-09-01,-4.68
1970-10-01,-2.9199999999999946
1970-11-01,0.03999999999999915
1970-12-01,2.269999999999996
1971-01-01,2.940000000000005
1971-02-01,3.75
1971-03-01,3.779999999999994
1971-04-01,3.3900000000000006
1971-05-01,4.57
1971-06-01,4.68
1971-07-01,5.630000000000003
1971-08-01,7.329999999999998
1971-09-01,5.840000000000003
1971-10-01,4.979999999999997
1971-11-01,5.420000000000002
1971-12-01,6.039999999999999
1972-01-01,7.869999999999997
1972-02-01,9.519999999999996
1972-03-01,9.46
1972-04-01,10.020000000000003
1972-05-01,14.099999999999994
1972-06-01,21.990000000000002
1972-07-01,24.709999999999994
1972-08-01,24.32
1972-09-01,23.429999999999993
1972-10-01,22.36
1972-11-01,20.049999999999997
1972-12-01,20.43
1973-01-01,19.39
1973-02-01,25.940000000000005
1973-03-01,36.040000000000006
1973-04-01,41.47
1973-05-01,47.339999999999996
1973-06-01,58.03
1973-07-01,54.510000000000005
1973-08-01,39.730000000000004
1973-09-01,37.510000000000005
1973-10-01,35.22
1973-11-01,32.010000000000005
1973-12-01,42.81
1974-01-01,64.05
1974-02-01,75.92999999999999
1974-03-01,84.04999999999998
1974-04-01,81.74000000000001
1974-05-01,61.31000000000002
1974-06-01,33.97999999999999
1974-07-01,22.809999999999988
1974-08-01,47.87999999999998
1974-09-01,48.78
1974-10-01,58.7
1974-11-01,86.74
1974-12-01,77.06
1975-01-01,47.08000000000001
1975-02-01,29.47
1975-03-01,9.740000000000009
1975-04-01,-2.4000000000000057
1975-05-01,4.119999999999976
1975-06-01,10.140000000000015
1975-07-01,22.189999999999998
1975-08-01,8.360000000000014
1975-09-01,-7.5800000000000125
1975-10-01,-15.990000000000009
1975-11-01,-39.24000000000001
